Performance Statistics   2021-12-03 11:30:00 - 2021-12-03 11:32:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
df$SimpleDoc.edit.header#load                           50,0          50          50         0,0           1
df$SimpleDoc.edit.openHistoryFrame#init                  0,0           0           0         0,0           1
df$SimpleDoc.edit.openHistoryFrame#inject                2,0           2           2         0,0           1
df$SimpleDoc.edit.openHistoryFrame#load                 31,0          31          31         0,0           1
df$SimpleDoc.edit.openHistoryFrame@openHistoryDs        18,0          18          18         0,0           1
df$SimpleDoc.edit.resolutionsFrame#init                 13,0          13          13         0,0           1
df$SimpleDoc.edit.resolutionsFrame#inject                3,0           3           3         0,0           1
df$SimpleDoc.edit.resolutionsFrame#load                 51,0          51          51         0,0           1
df$SimpleDoc.edit.resolutionsFrame@resolutionsDs        50,0          50          50         0,0           1
df$SimpleDoc.edit.runtimePropertiesFrameMain#init        18,0          18          18         0,0           1
df$SimpleDoc.edit.runtimePropertiesFrameMain#inject         4,0           4           4         0,0           1
df$SimpleDoc.edit.runtimePropertiesFrameMain#load         6,0           6           6         0,0           1
df$SimpleDoc.edit.runtimePropertiesFrameTab#init         0,0           0           0         0,0           1
df$SimpleDoc.edit.runtimePropertiesFrameTab#inject         0,0           0           0         0,0           1
df$SimpleDoc.edit.runtimePropertiesFrameTab#load         0,0           0           0         0,0           1
df$SimpleDoc.edit.startProcessButtonsFrame#init          0,0           0           0         0,0           1
df$SimpleDoc.edit.startProcessButtonsFrame#inject         3,0           3           3         0,0           1
df$SimpleDoc.edit.startProcessButtonsFrame#load          0,0           0           0         0,0           1
df$SimpleDoc.edit.templateFrame#init                     0,0           0           0         0,0           1
df$SimpleDoc.edit.templateFrame#inject                   0,0           0           0         0,0           1
df$SimpleDoc.edit.templateFrame#load                   104,0         104         104         0,0           1
df$SimpleDoc.edit@attachmentsDs                         20,3          13          29         6,6           3
df$SimpleDoc.edit@cardRelationsDs                       27,7          16          45        12,5           3
df$SimpleDoc.edit@categoriesDs                           8,0           8           8         0,0           1
df$SimpleDoc.edit@categoryDs                            20,3           8          44        16,7           3
df$SimpleDoc.edit@departmentDs                          10,3           9          12         1,2           3
df$SimpleDoc.edit@organizationDs                         5,0           5           5         0,0           1
df$SimpleDoc.edit@versionsDs                            13,0           8          22         5,7           4
docCreator#afterShow                                     0,0           0           0         0,0           1
docCreator#beforeShow                                    0,0           0           0         0,0           1
docCreator#create                                        6,0           6           6         0,0           1
docCreator#init                                        229,0         229         229         0,0           1
docCreator#inject                                        6,0           6           6         0,0           1
docCreator#load                                         29,0          29          29         0,0           1
docCreator#uiPermissions                                 0,0           0           0         0,0           1
docCreator#xml                                           1,5           0           9         3,4           6
docCreator.windowActions#init                            0,0           0           0         0,0           1
docCreator.windowActions#inject                          0,0           0           0         0,0           1
docCreator.windowActions#load                            0,0           0           0         0,0           1
docCreator@docKindDs                                    16,0          16          16         0,0           1
docCreator@templatesDs                                  16,3          11          24         5,6           3
docLinksFrame#create                                     2,0           2           2         0,0           1
docLinksFrame#xml                                        0,5           0           1         0,5           2
docOfficeDataFrame#create                               36,0          36          36         0,0           1
docOfficeDataFrame#xml                                   0,5           0           1         0,5           2
docOfficeFrame#create                                   43,0          43          43         0,0           1
docOfficeFrame#xml                                       0,5           0           1         0,5           2
docProcFrame#create                                     16,0          16          16         0,0           1
docProcFrame#xml                                         0,5           0           1         0,5           2
docTemplateFrame#create                                  0,0           0           0         0,0           1
docTemplateFrame#xml                                     0,0           0           0         0,0           2
docTransferLogFrame#create                               1,0           1           1         0,0           1
docTransferLogFrame#xml                                  0,5           0           1         0,5           2
editWindowActions#create                                 0,0           0           0         0,0           2
editWindowActions#xml                                    0,0           0           0         0,0           4
loginWindow#afterShow                                    0,0           0           0         0,0           2
loginWindow#beforeShow                                   0,0           0           0         0,0           2
loginWindow#create                                       0,0           0           0         0,0           2
loginWindow#init                                         0,0           0           0         0,0           2
loginWindow#inject                                       0,0           0           0         0,0           2
loginWindow#load                                         2,0           2           2         0,0           2
loginWindow#uiPermissions                                0,0           0           0         0,0           2
loginWindow#xml                                          0,0           0           0         0,0           4
lookupWindowActions#create                               0,0           0           0         0,0           1
lookupWindowActions#inject                               0,0           0           0         0,0           1
lookupWindowActions#load                                 0,0           0           0         0,0           1
lookupWindowActions#xml                                  0,0           0           0         0,0           2
mainWindow#afterShow                                     1,0           1           1         0,0           2
mainWindow#beforeShow                                    0,0           0           0         0,0           2
mainWindow#create                                        1,5           1           2         0,5           2
mainWindow#init                                         95,5          50         141        45,5           2
mainWindow#inject                                        0,0           0           0         0,0           2
mainWindow#load                                         42,0          39          45         3,0           2
mainWindow#uiPermissions                                 0,0           0           0         0,0           2
mainWindow#xml                                           0,0           0           0         0,0           4
mainWindow.voiceControlConsole#init                      0,0           0           0         0,0           2
mainWindow.voiceControlConsole#inject                    0,0           0           0         0,0           2
mainWindow.voiceControlConsole#load                      0,0           0           0         0,0           2
openHistoryFrame#create                                  3,0           3           3         0,0           1
openHistoryFrame#xml                                     0,5           0           1         0,5           2
resolutionsFrame#create                                  1,0           0           2         1,0           2
resolutionsFrame#xml                                     0,3           0           1         0,4           4
